+--------+-----------+-----------------------------------------------------------+---------------------------------+-----------------------------------------------------------------------------------+----------------------------------------------------------------------------------------+
| Domain | Method    | URI                                                       | Name                            | Action                                                                            | Middleware                                                                             |
+--------+-----------+-----------------------------------------------------------+---------------------------------+-----------------------------------------------------------------------------------+----------------------------------------------------------------------------------------+
|        | GET|HEAD  | /                                                         |                                 | App\Http\Controllers\InicioController@index                                       | web                                                                                    |
|        | POST      | login                                                     | entrar                          | App\Http\Controllers\Auth\LoginController@login                                   | web,guest                                                                              |
|        | POST      | logout                                                    | salir                           | App\Http\Controllers\Auth\LoginController@logout                                  | web                                                                                    |
|        | GET|HEAD  | miperfil                                                  | usuarios.miperfil               | App\Http\Controllers\User\UserController@perfil                                   | web,auth                                                                               |
|        | GET|HEAD  | organizers                                                | organizers.index                | App\Http\Controllers\Organizador\OrganizerController@index                        | web                                                                                    |
|        | GET|HEAD  | organizers/{organizer}                                    | organizers.show                 | App\Http\Controllers\Organizador\OrganizerController@show                         | web,can:view,organizer                                                                 |
|        | GET|HEAD  | organizers/{organizer}/events                             | organizers.events.index         | App\Http\Controllers\Organizador\OrganizerEventController@index                   | web,can:view,organizer                                                                 |
|        | GET|HEAD  | organizers/{organizer}/events/{event}                     | organizers.events.show          | App\Http\Controllers\Organizador\OrganizerEventController@show                    | web,can:view,organizer                                                                 |
|        | POST      | password/email                                            | password.email                  | App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail             | web,guest                                                                              |
|        | GET|HEAD  | registrarse                                               | usuarios.registro               | App\Http\Controllers\User\UserController@registrar                                | web,guest                                                                              |
|        | GET|HEAD  | staff                                                     | usuarios.staff                  | App\Http\Controllers\User\UserController@staff                                    | web,auth                                                                               |
|        | GET|HEAD  | subevents                                                 | subevents.index                 | App\Http\Controllers\Subevento\SubeventController@index                           | web                                                                                    |
|        | GET|HEAD  | subevents/{subevent}                                      | subevents.show                  | App\Http\Controllers\Subevento\SubeventController@show                            | web                                                                                    |
|        | GET|HEAD  | subevents/{subevent}/assistants                           | subevents.assistants.index      | App\Http\Controllers\Subevento\SubeventAssistantController@index                  | web,can:listarAsistentes,subevent                                                      |
|        | GET|HEAD  | subevents/{subevent}/assistants/toPDF                     | asistentesSubeventoPDF          | App\Http\Controllers\Subevento\SubeventAssistantController@toPDF                  | web,can:listarAsistentes,subevent                                                      |
|        | GET|HEAD  | subevents/{subevent}/assistants/{assistant}               | subevents.assistants.show       | App\Http\Controllers\Subevento\SubeventAssistantController@show                   | web,can:verAsistente,subevent,assistant                                                |
|        | DELETE    | subevents/{subevent}/assistants/{assistant}               | subevents.assistants.destroy    | App\Http\Controllers\Subevento\SubeventAssistantController@destroy                | web,can:eliminarAsistente,subevent,assistant                                           |
|        | PUT|PATCH | subevents/{subevent}/assistants/{assistant}               | subevents.assistants.update     | App\Http\Controllers\Subevento\SubeventAssistantController@update                 | web,can:actualizarAsistente,subevent                                                   |
|        | POST      | subevents/{subevent}/assistants/{assistant}/mail          | subevento.asistente.mail        | App\Http\Controllers\Subevento\SubeventAssistantController@sendMail               | web,can:enviarMensajeAsistente,subevent                                                |
|        | GET|HEAD  | subevents/{subevent}/collaborators                        | subevents.collaborators.index   | App\Http\Controllers\Subevento\SubeventCollaboratorController@index               | web                                                                                    |
|        | GET|HEAD  | subevents/{subevent}/collaborators/{collaborator}         | subevents.collaborators.show    | App\Http\Controllers\Subevento\SubeventCollaboratorController@show                | web                                                                                    |
|        | PUT|PATCH | subevents/{subevent}/collaborators/{collaborator}         | subevents.collaborators.update  | App\Http\Controllers\Subevento\SubeventCollaboratorController@update              | web,can:agregarColaborador,subevent                                                    |
|        | DELETE    | subevents/{subevent}/collaborators/{collaborator}         | subevents.collaborators.destroy | App\Http\Controllers\Subevento\SubeventCollaboratorController@destroy             | web,can:quitarColaborador,subevent                                                     |
|        | GET|HEAD  | subevents/{subevent}/prices                               | subevents.prices.index          | App\Http\Controllers\Subevento\SubeventPriceController@index                      | web                                                                                    |
|        | POST      | subevents/{subevent}/prices                               | subevents.prices.store          | App\Http\Controllers\Subevento\SubeventPriceController@store                      | web,can:agregarPrecio,subevent                                                         |
|        | DELETE    | subevents/{subevent}/prices/{price}                       | subevents.prices.destroy        | App\Http\Controllers\Subevento\SubeventPriceController@destroy                    | web,can:quitarPrecio,subevent                                                          |
|        | GET|HEAD  | subevents/{subevent}/prices/{price}                       | subevents.prices.show           | App\Http\Controllers\Subevento\SubeventPriceController@show                       | web                                                                                    |
|        | PUT|PATCH | subevents/{subevent}/prices/{price}                       | subevents.prices.update         | App\Http\Controllers\Subevento\SubeventPriceController@update                     | web,can:actualizarPrecio,subevent                                                      |
|        | POST      | users                                                     | users.store                     | App\Http\Controllers\User\UserController@store                                    | web,transform.input:App\Transformers\UserTransformer                                   |
|        | GET|HEAD  | users                                                     | users.index                     | App\Http\Controllers\User\UserController@index                                    | web,auth                                                                               |
|        | GET|HEAD  | users/verify/{token}                                      | verify                          | App\Http\Controllers\User\UserController@verify                                   | web                                                                                    |
|        | PUT|PATCH | users/{user}                                              | users.update                    | App\Http\Controllers\User\UserController@update                                   | web,auth,transform.input:App\Transformers\UserTransformer,can:update,user              |
|        | DELETE    | users/{user}                                              | users.destroy                   | App\Http\Controllers\User\UserController@destroy                                  | web,auth                                                                               |
|        | GET|HEAD  | users/{user}                                              | users.show                      | App\Http\Controllers\User\UserController@show                                     | web,auth,can:view,user                                                                 |
|        | POST      | users/{user}/mail                                         | mail                            | App\Http\Controllers\User\UserController@sendMail                                 | web,auth                                                                               |
|        | GET|HEAD  | users/{user}/resend                                       | resend                          | App\Http\Controllers\User\UserController@resend                                   | web,auth,can:resendConfirmationMail,user                                               |
|        | GET|HEAD  | usuarios                                                  | usuarios                        | App\Http\Controllers\User\UserController@panel                                    | web,auth                                                                               |
+--------+-----------+-----------------------------------------------------------+---------------------------------+-----------------------------------------------------------------------------------+----------------------------------------------------------------------------------------+
